,week-year,state,new_case
864,07-2021,ME,977
865,07-2021,MI,7976
866,07-2021,MN,5366
867,07-2021,MO,4778
868,07-2021,MP,1
869,07-2021,MS,3698
870,07-2021,MT,1344
871,07-2021,NC,18903
872,07-2021,ND,680
873,07-2021,NE,1972
874,07-2021,NH,2656
875,07-2021,NJ,20555
876,07-2021,NM,2186
877,07-2021,NV,2835
878,07-2021,NY,23907
879,07-2021,NYC,25470
880,07-2021,OH,14765
881,07-2021,OK,3582
882,07-2021,OR,2677
883,07-2021,PA,18797
884,07-2021,PR,1338
885,07-2021,PW,0
886,07-2021,RI,2127
887,07-2021,RMI,0
888,07-2021,SC,13918
889,07-2021,SD,960
890,07-2021,TN,8314
891,07-2021,TX,30490
892,07-2021,UT,5450
893,07-2021,VA,14388
894,07-2021,VI,55
895,07-2021,VT,691
896,07-2021,WA,5881
897,07-2021,WI,5138
898,07-2021,WV,2082
899,07-2021,WY,597
900,07-2022,AK,3776
901,07-2022,AL,10073
902,07-2022,AR,7849
903,07-2022,AS,0
904,07-2022,AZ,19573
905,07-2022,CA,91096
906,07-2022,CO,8642
907,07-2022,CT,6443
908,07-2022,DC,877
909,07-2022,DE,1576
910,07-2022,FL,36702
911,07-2022,FSM,0
912,07-2022,GA,17777
913,07-2022,GU,2559
914,07-2022,HI,2902
915,07-2022,IA,5964
916,07-2022,ID,11376
917,07-2022,IL,26207
918,07-2022,IN,9916
919,07-2022,KS,5841
920,07-2022,KY,21187
921,07-2022,LA,7883
922,07-2022,MA,12550
923,07-2022,MD,4537
924,07-2022,ME,2585
925,07-2022,MI,18308
926,07-2022,MN,16261
927,07-2022,MO,14421
928,07-2022,MP,1291
929,07-2022,MS,8811
930,07-2022,MT,5092
931,07-2022,NC,26706
932,07-2022,ND,2109
933,07-2022,NE,1940
934,07-2022,NH,5506
935,07-2022,NJ,11350
936,07-2022,NM,6807
937,07-2022,NV,4023
938,07-2022,NY,15054
939,07-2022,NYC,8683
940,07-2022,OH,13083
941,07-2022,OK,7542
942,07-2022,OR,11453
943,07-2022,PA,20357
944,07-2022,PR,3061
945,07-2022,PW,327
946,07-2022,RI,1970
947,07-2022,RMI,-3
948,07-2022,SC,12363
949,07-2022,SD,1560
950,07-2022,TN,22946
951,07-2022,TX,60781
952,07-2022,UT,7322
953,07-2022,VA,20008
954,07-2022,VI,120
955,07-2022,VT,1783
956,07-2022,WA,19381
957,07-2022,WI,10830
958,07-2022,WV,7106
959,07-2022,WY,1501
960,08-2021,AK,820
961,08-2021,AL,6467
962,08-2021,AR,3965
963,08-2021,AS,0
964,08-2021,AZ,9664
965,08-2021,CA,35691
966,08-2021,CO,7729
967,08-2021,CT,6845
968,08-2021,DC,925
969,08-2021,DE,1954
